,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9720496894409938,0.7638888888888888,0.875,0.9295774647887324,0.8703128594432942,0.9341700363209855
recall,0.93993993993994,0.859375,0.9655172413793104,0.9295774647887324,0.9216107271064168,0.9295774647887324
f1-score,0.9557251908396946,0.8088235294117647,0.9180327868852459,0.9295774647887324,0.8941938357122351,0.9310895428442334
support,333.0,64.0,29.0,0.9295774647887324,426.0,426.0
